market,category,currency,descripcion_producto,precio_producto,precio_promocion,descripcion_promocion,imagen
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Barrita de semillas Zafrán cajú y zapallo 3 x 28 g. sin TACC </span>","$ 427,00",,,https://carrefourar.vtexassets.com/arquivos/ids/262162-170-170?v=1765384922&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Aceite de oliva Carrefour extra virgen orgánico botella 500 cc. </span>","$ 1.345,50$ 1.495,00","$ 1.345,50c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/167077-170-170?v=1765384128&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Bebida energizante Monster ultra paradise 473 ml. </span>","$ 357,00",,,https://carrefourar.vtexassets.com/arquivos/ids/307778-170-170?v=1765381881&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Canela molida Pergola 25 g. sin TACC </span>","$ 72,38$ 96,50","$ 72,38c/u",2do al 50% Mi Crf Max 6 Unidades combinable,https://carrefourar.vtexassets.com/arquivos/ids/188353-170-170?v=1765384460&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galletitas mini crackers Carrefour sin sal 300 g. </span>","$ 193,44$ 208,00","$ 193,44c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/176550-170-170?v=1765373630&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Chorizo de cerdo envasado al vacío Carrefour sin TACC x kg. </span>","$ 1.430,00",,,https://carrefourar.vtexassets.com/arquivos/ids/253840-170-170?v=1765384265&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Barrita de semillas Zafrán maní y cacao 3 x 28 g. sin TACC </span>","$ 427,00",,,https://carrefourar.vtexassets.com/arquivos/ids/262127-170-170?v=1765380535&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Premezcla para bizcochuelo Carrefour vainilla 480 g. sin TACC </span>","$ 515,97$ 567,00","$ 515,97c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/180029-170-170?v=1765374815&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Pasas de uva Terrasana orgánicas 200 g. </span>","$ 342,00$ 456,00","$ 342,00c/u",2do al 50% Mi Crf Max 6 Unidades combinable,https://carrefourar.vtexassets.com/arquivos/ids/177013-170-170?v=1765384975&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galletitas Smams chocolate sin TACC 250 g. </span>","$ 371,00",,,https://carrefourar.vtexassets.com/arquivos/ids/176062-170-170?v=1765384892&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galletitas de chocolate Smams rellenas 105 g. sin TACC </span>","$ 220,00",,,https://carrefourar.vtexassets.com/arquivos/ids/176045-170-170?v=1765384889&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Orégano Pérgola 25 g. sin TACC </span>","$ 90,60",,,https://carrefourar.vtexassets.com/arquivos/ids/176130-170-170?v=1765372381&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Pan para hamburguesas Carrefour 120 g. sin TACC </span>","$ 348,68$ 379,00","$ 348,68c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/179850-170-170?v=1765373760&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Condimento para arroz Pergola 25 g. sin TACC </span>","$ 52,30",,,https://carrefourar.vtexassets.com/arquivos/ids/176147-170-170?v=1765369905&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Salsa de soja Darama sin sal agregada 220 cc. </span>","$ 546,00",,,https://carrefourar.vtexassets.com/arquivos/ids/181632-170-170?v=1765378103&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Hamburguesa Huella Natural 2 u. </span>","$ 439,00",,,https://carrefourar.vtexassets.com/arquivos/ids/176938-170-170?v=1765376812&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Medallón de choclo Medave 320 g. sin TACC </span>","$ 309,00",,,https://carrefourar.vtexassets.com/arquivos/ids/179524-170-170?v=1765373287&width=170&height=170&aspect=true
